level	taxid	name	read_count	total_bp_mapped	rel_abundance
genus	1471399	Draconibacterium	25	13816	0.000076
genus	2773294	Desulfolutivibrio	25	9388	0.000069
genus	29465	Veillonella	24	3058	0.000150
genus	1649466	Marinicauda	22	7862	0.000097
genus	311181	Denitratisoma	22	10064	0.000081
genus	914	Nitrosomonas	21	14004	0.000140
genus	Pelobium	Pelobium	21	9835	0.000059
genus	34069	Telluria	21	6921	0.000057
genus	1914449	Rugosibacter	20	14574	0.000139
genus	1912215	Acidipropionibacterium	20	3020	0.000041
genus	414878	Catenulispora	20	6602	0.000025
genus	Specibacter	Specibacter	19	12733	0.001090
genus	308865	Elizabethkingia	19	5684	0.000173
genus	2800682	Paraurantiacibacter	18	5662	0.000088
genus	2838250	Kaustia	18	6955	0.000061
genus	407217	Aquitalea	18	5192	0.000055
genus	165695	Sphingobium	17	5125	0.000298
genus	2944152	Wujia	17	9112	0.000116
genus	73918	Thermaerobacter	17	4221	0.000070
genus	423349	Mucilaginibacter	17	5491	0.000036
genus	214906	Histophilus	15	4563	0.000070
genus	1769726	Niveibacterium	15	6090	0.000042
genus	762296	Methylovulum	15	5435	0.000028
genus	388809	Blyttiomyces	15	2025	0.000001
genus	1654	Actinomyces	14	4378	0.000074
genus	359407	Methylotenera	14	7189	0.000073
genus	76890	Asticcacaulis	14	9609	0.000067
genus	204456	Gemmobacter	14	7321	0.000065
genus	196013	Caldimonas	14	5065	0.000053
genus	146937	Azospira	14	4101	0.000043
genus	157	Treponema	13	9759	0.000092
genus	29580	Janthinobacterium	13	2345	0.000067
genus	Centipeda	Centipeda	12	2068	0.000043
genus	1055692	Chitinolyticbacter	12	3487	0.000030
genus	2685927	Tardibacter	12	2351	0.000023
genus	28067	Rubrivivax	11	1341	0.000019
genus	122277	Pectobacterium	10	654	0.000047
genus	256616	Parvibaculum	10	4269	0.000036
genus	189330	Dorea	10	2142	0.000033
genus	Bariatricus	Bariatricus	10	3058	0.000031
genus	457933	Elioraea	10	2273	0.000028
genus	375288	Parabacteroides	10	1279	0.000012
genus	33024	Phascolarctobacterium	9	4653	0.000239
genus	2888818	Pengzhenrongella	9	2282	0.000029
genus	2884243	Musicola	9	3244	0.000027
genus	1184606	Austwickia	9	3128	0.000025
genus	256818	Gulosibacter	9	2468	0.000023
genus	MFBS3-17	MFBS3-17	8	3042	0.000036
