TaxID	Name	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
1866	Actinoplanes missouriensis	2491	0.0787092	0.0788625	cellular organisms;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Actinoplanes
2809020	Paralysiella testudinis	2469	0.0780141	0.078166	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Paralysiella
2745495	Pseudomonas vanderleydeniana	2423	0.0765606	0.0767096	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
1288495	Diaphorobacter aerolatus	2414	0.0762762	0.0764247	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter
2756	Brochothrix thermosphacta	2339	0.0739064	0.0740503	cellular organisms;Bacillota;Bacilli;Bacillales;Listeriaceae;Brochothrix
1499308	Paracoccus mutanolyticus	2319	0.0732745	0.0734171	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
41899	Burkholderia plantarii	2286	0.0722318	0.0723724	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
44742	Desulfovibrio fairfieldensis	2266	0.0715998	0.0717392	cellular organisms;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
502394	Deinococcus gobiensis	2262	0.0714734	0.0716126	cellular organisms;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus
119542	Roseinatronobacter bogoriensis	2250	0.0710942	0.0712326	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Roseinatronobacter
2202148	Azospirillum thermophilum	2242	0.0708415	0.0709794	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum
2483798	Nocardioides pantholopis	2237	0.0706835	0.0708211	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides
1355330	Flavobacterium faecale	2221	0.0701779	0.0703145	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
304895	Catenulispora acidiphila	2177	0.0687876	0.0689215	cellular organisms;Actinomycetota;Actinomycetes;Catenulisporales;Catenulisporaceae;Catenulispora
37331	Pseudonocardia petroleophila	2158	0.0681873	0.06832	cellular organisms;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia
419476	Nocardioides marinisabuli	2155	0.0680925	0.068225	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides
2852098	Kaistella faecalis	2142	0.0676817	0.0678135	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Kaistella
47735	Bibersteinia trehalosi	2068	0.0653435	0.0654707	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Bibersteinia
55209	Pantoea cypripedii	1968	0.0621838	0.0623048	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
7	Azorhizobium caulinodans	1965	0.062089	0.0622098	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Azorhizobium
2871820	Shinella oryzae	1886	0.0595928	0.0597088	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella
659012	Agromyces soli	1859	0.0587396	0.058854	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Agromyces
2745514	Pseudomonas salmasensis	1828	0.0577601	0.0578726	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
1532023	Qipengyuania sediminis	1809	0.0571598	0.057271	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania
